;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
RAIL3;86;0,37%;107.299.504;Balcão;30/06/2026;18:51:35;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;3;XP INVESTIMENTOS CCTVM S/A
VALE3;30;0,09%;107.332.103;Balcão;30/06/2026;18:49:04;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;3;XP INVESTIMENTOS CCTVM S/A
ABCB4;83.000;0,03%;107.332.102;Balcão;30/06/2026;18:44:40;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;16;J.P. MORGAN CCVM S/A
SMTO3;100;5,91%;107.331.558;Balcão;30/06/2026;18:44:39;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;3;XP INVESTIMENTOS CCTVM S/A
WEGE3;1.000;0,10%;107.331.530;Balcão;30/06/2026;18:44:39;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;122;BGC LIQUIDEZ DTVM LTDA
AXIA3;200;0,10%;107.330.828;Balcão;30/06/2026;18:44:39;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;122;BGC LIQUIDEZ DTVM LTDA
WEGE3;4.170;0,10%;107.331.529;Balcão;30/06/2026;18:44:38;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;122;BGC LIQUIDEZ DTVM LTDA
GGBR4;2.251;0,10%;107.331.439;Balcão;30/06/2026;18:44:38;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;122;BGC LIQUIDEZ DTVM LTDA
WEGE3;4.482;0,10%;107.331.528;Balcão;30/06/2026;18:44:38;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;122;BGC LIQUIDEZ DTVM LTDA
BOVA11;85;0,29%;107.332.099;Balcão;30/06/2026;18:41:01;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;1130;STONEX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
BOVA11;12;0,29%;107.332.101;Balcão;30/06/2026;18:41:01;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;1130;STONEX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
BOVA11;85;0,29%;107.332.100;Balcão;30/06/2026;18:41:01;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;1130;STONEX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
BOVA11;85;0,29%;107.332.098;Balcão;30/06/2026;18:41:01;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;1130;STONEX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
BOVA11;85;0,29%;107.332.097;Balcão;30/06/2026;18:41:01;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;1130;STONEX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
BOVA11;85;0,29%;107.332.096;Balcão;30/06/2026;18:41:00;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;1130;STONEX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
BBSE3;2.410;0,06%;107.332.095;Balcão;30/06/2026;18:37:27;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;1130;STONEX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
EQTL3;1.500;0,10%;107.331.382;Balcão;30/06/2026;18:36:48;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
EQTL3;1.600;0,10%;107.331.513;Balcão;30/06/2026;18:36:48;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
EQTL3;5.669;0,10%;107.332.093;Balcão;30/06/2026;18:36:32;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;13;MERRILL LYNCH S/A CTVM
EQTL3;5.730;0,10%;107.332.094;Balcão;30/06/2026;18:36:32;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;13;MERRILL LYNCH S/A CTVM
AMER3;1.498;4,73%;107.327.650;Balcão;30/06/2026;18:36:09;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CSMG3;12.100;1,86%;107.332.091;Eletrônico D+1;30/06/2026;18:34:26;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CSMG3;7.108;1,86%;107.332.089;Eletrônico D+1;30/06/2026;18:34:26;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CSMG3;13.146;1,86%;107.332.090;Eletrônico D+1;30/06/2026;18:34:26;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CSMG3;13.166;1,86%;107.332.088;Eletrônico D+1;30/06/2026;18:34:26;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CSMG3;11.300;1,86%;107.332.092;Eletrônico D+1;30/06/2026;18:34:26;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;3;XP INVESTIMENTOS CCTVM S/A
ONCO3;1.420;15,48%;107.331.703;Balcão;30/06/2026;18:34:18;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ITUB4;17.051;0,10%;107.331.717;Balcão;30/06/2026;18:34:06;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;13;MERRILL LYNCH S/A CTVM
ITUB4;2.920;0,10%;107.331.718;Balcão;30/06/2026;18:34:06;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;13;MERRILL LYNCH S/A CTVM
EQTL3;362;0,08%;107.331.702;Balcão;30/06/2026;18:34:02;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
EQTL3;138;0,08%;107.331.704;Balcão;30/06/2026;18:34:02;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
EQTL3;100;0,08%;107.331.705;Balcão;30/06/2026;18:34:02;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TUPY3;1.735;0,06%;107.331.716;Balcão;30/06/2026;18:34:02;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRBI11;31;0,09%;107.331.715;Balcão;30/06/2026;18:34:02;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;627;14,02%;107.331.714;Balcão;30/06/2026;18:34:02;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZZA3;193;40,56%;107.331.713;Balcão;30/06/2026;18:34:02;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;515;0,12%;107.331.712;Balcão;30/06/2026;18:34:02;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MRVE3;1.000;0,08%;107.331.709;Balcão;30/06/2026;18:34:02;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;500;14,02%;107.331.708;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;1.314;14,02%;107.331.711;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;1.449;0,12%;107.331.710;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;150;0,12%;107.331.707;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;2;14,02%;107.331.700;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;507;0,12%;107.331.706;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TECN3;300;6,83%;107.331.699;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TTEN3;100;0,06%;107.331.701;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
SCAR3;100;5,40%;107.331.697;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
SAUD3;500;0,32%;107.331.696;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;72;0,12%;107.331.698;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
WIZC3;800;0,42%;107.331.695;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
SCAR3;400;5,40%;107.331.693;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;452;14,02%;107.331.694;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
